epoch,loss,lr,mse,val_loss,val_mse
0,0.3756987154483795,1e-04,0.32919907569885254,0.18177343904972076,0.1126541867852211
1,0.1491263061761856,1e-04,0.08296516537666321,0.12015218287706375,0.05376546084880829
2,0.10526465624570847,1e-04,0.03992094844579697,0.09487264603376389,0.02831927128136158
3,0.08303719013929367,1e-04,0.022530756890773773,0.07160153239965439,0.016479341313242912
4,0.06782878935337067,1e-04,0.014829427003860474,0.062192708253860474,0.012655096128582954
5,0.05924366042017937,1e-04,0.011204132810235023,0.05495063215494156,0.009411360137164593
6,0.05367473140358925,1e-04,0.00895411241799593,0.05025498941540718,0.007615616545081139
7,0.049317989498376846,1e-04,0.007364267483353615,0.043845437467098236,0.005942331627011299
8,0.046185750514268875,1e-04,0.0063744401559233665,0.04274050518870354,0.005327317398041487
9,0.042988214641809464,1e-04,0.005378212314099073,0.039349231868982315,0.004408564418554306
10,0.041285790503025055,1e-04,0.0048438431695103645,0.03657259792089462,0.0038447226397693157
11,0.03851637989282608,1e-04,0.004154181573539972,0.03477735072374344,0.003446766873821616
12,0.037006594240665436,1e-04,0.003705723909661174,0.033118750900030136,0.0029457116033881903
13,0.036104001104831696,1e-04,0.0035106393042951822,0.03233705461025238,0.002917703939601779
14,0.034487735480070114,1e-04,0.0030745347030460835,0.030669037252664566,0.002430286258459091
15,0.03241627663373947,1e-04,0.0026659592986106873,0.03180309012532234,0.0023810367565602064
16,0.03224799782037735,1e-04,0.0025789656210690737,0.028101157397031784,0.00197257730178535
17,0.03175871819257736,1e-04,0.002464798977598548,0.026668041944503784,0.0017194425454363227
18,0.030217960476875305,1e-04,0.002233561361208558,0.027411509305238724,0.0017317627789452672
19,0.029218368232250214,1e-04,0.002026313217356801,0.02712097391486168,0.0017170223873108625
20,0.028829941526055336,1e-04,0.001966900425031781,0.027520310133695602,0.0016922983340919018
21,0.028123149648308754,1e-04,0.001836286042816937,0.026476377621293068,0.0016001802869141102
22,0.02808576449751854,1e-04,0.0018193178111687303,0.025670349597930908,0.0015214526792988181
23,0.02776349149644375,1e-04,0.0017374362796545029,0.02396523393690586,0.0012792123015969992
24,0.026826979592442513,1e-04,0.0016431595431640744,0.02513372339308262,0.0014582739677280188
25,0.025683538988232613,1e-04,0.0014894310152158141,0.024845007807016373,0.0013811843236908317
26,0.02561815269291401,1e-04,0.0014739831676706672,0.02483304962515831,0.001328086480498314
27,0.02579142525792122,1e-04,0.0014881800161674619,0.023139657452702522,0.0011359199415892363
28,0.024821247905492783,1e-04,0.0013426095247268677,0.02315654419362545,0.0011169436620548368
29,0.02421100251376629,1e-04,0.001292278990149498,0.02181367203593254,0.0010169020388275385
30,0.024771541357040405,1e-04,0.0013670958578586578,0.022906502708792686,0.0010973887983709574
31,0.02400544285774231,1e-04,0.0012541492469608784,0.0215777400881052,0.0010048715630546212
32,0.0230290237814188,1e-04,0.0011472890619188547,0.021791502833366394,0.001015732530504465
33,0.022836929187178612,1e-04,0.0011270202230662107,0.020638655871152878,0.0009010625071823597
34,0.0231424979865551,1e-04,0.0011517396196722984,0.020906874909996986,0.0008810301660560071
35,0.021950749680399895,1e-04,0.0010591960744932294,0.0213323924690485,0.0009672357118688524
